HPLC System Name,Executed Sequence,Chromatogram Name,Acquisition Date,Peak Name,CH,tR,Corrected Quantity,Quantity,Factor,Area,Height,Area%,Height%,Sample Name,ISTD Name,ISTD Amount,Warning,Calibration Curve Expression,Description,Sample Description,NTP,Resolution,Separation Factor,Symmetry Factor,Retension Factor,t0,Peak Width,Additional Information,Sample #,Volume,Type,S/N,Calculated Value1,Calculated Value2,Calculated Value3,Calculated Value4,Calculated Value5,Calculated Value6,Calculated Value7,Calculated Value8,Calculated Value9,Calculated Value10,Decision,Peak Factor,True Value,Sample Weight,p/v,RRT,Relative Resolution,Area Ratio,Height Ratio
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,8,12/12/2018 10:41:49 AM,Unknown,2,2.725,N/A,N/A,1.00000,1976914,495589,100.000,100.000,8,N/A,N/A,,,,,10866,N/A,N/A,1.091,N/A,0.0000,0.062,,8,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,9,12/12/2018 10:48:50 AM,Unknown,2,2.708,N/A,N/A,1.00000,2000303,503755,100.000,100.000,9,N/A,N/A,,,,,10764,N/A,N/A,1.098,N/A,0.0000,0.061,,9,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,10,12/12/2018 10:55:49 AM,Unknown,2,2.717,N/A,N/A,1.00000,2006093,501286,100.000,100.000,10,N/A,N/A,,,,,10441,N/A,N/A,1.160,N/A,0.0000,0.063,,10,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,11,12/12/2018 11:02:49 AM,Unknown,2,2.717,N/A,N/A,1.00000,1957829,491890,97.300,98.189,11,N/A,N/A,,,,,11397,20.740,N/A,1.181,N/A,0.0000,0.060,,11,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,11,12/12/2018 11:02:49 AM,Unknown,2,5.425,N/A,N/A,1.00000,54337,9072,2.700,1.811,11,N/A,N/A,,,,,18377,N/A,N/A,1.057,N/A,0.0000,0.094,,11,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,12,12/12/2018 11:09:49 AM,Unknown,2,2.725,N/A,N/A,1.00000,1862246,464368,93.905,95.879,12,N/A,N/A,,,,,10567,20.158,N/A,1.082,N/A,0.0000,0.062,,12,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,12,12/12/2018 11:09:49 AM,Unknown,2,5.417,N/A,N/A,1.00000,120874,19957,6.095,4.121,12,N/A,N/A,,,,,17947,N/A,N/A,1.079,N/A,0.0000,0.095,,12,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,13,12/12/2018 11:16:48 AM,Unknown,2,2.725,N/A,N/A,1.00000,1870035,469921,94.377,96.233,13,N/A,N/A,,,,,11358,20.802,N/A,1.170,N/A,0.0000,0.060,,13,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,13,12/12/2018 11:16:48 AM,Unknown,2,5.425,N/A,N/A,1.00000,111418,18395,5.623,3.767,13,N/A,N/A,,,,,18861,N/A,N/A,1.119,N/A,0.0000,0.093,,13,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,14,12/12/2018 11:23:47 AM,Unknown,2,2.742,N/A,N/A,1.00000,1766622,437650,94.540,96.283,14,N/A,N/A,,,,,10547,20.249,N/A,1.068,N/A,0.0000,0.063,,14,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,14,12/12/2018 11:23:47 AM,Unknown,2,5.450,N/A,N/A,1.00000,102024,16894,5.460,3.717,14,N/A,N/A,,,,,18235,N/A,N/A,1.074,N/A,0.0000,0.095,,14,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,15,12/12/2018 11:30:46 AM,Unknown,2,2.742,N/A,N/A,1.00000,1797933,451577,94.696,96.433,15,N/A,N/A,,,,,11232,20.686,N/A,1.077,N/A,0.0000,0.061,,15,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,15,12/12/2018 11:30:46 AM,Unknown,2,5.433,N/A,N/A,1.00000,100710,16703,5.304,3.567,15,N/A,N/A,,,,,19051,N/A,N/A,1.095,N/A,0.0000,0.093,,15,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,16,12/12/2018 11:37:45 AM,Unknown,2,2.742,N/A,N/A,1.00000,1829316,453950,94.730,96.424,16,N/A,N/A,,,,,10541,20.486,N/A,1.187,N/A,0.0000,0.063,,16,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,16,12/12/2018 11:37:45 AM,Unknown,2,5.442,N/A,N/A,1.00000,101777,16835,5.270,3.576,16,N/A,N/A,,,,,19102,N/A,N/A,1.115,N/A,0.0000,0.093,,16,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,17,12/12/2018 11:44:43 AM,Unknown,2,2.733,N/A,N/A,1.00000,1150162,287096,94.760,96.457,17,N/A,N/A,,,,,11452,20.621,N/A,1.212,N/A,0.0000,0.060,,17,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,17,12/12/2018 11:44:43 AM,Unknown,2,5.433,N/A,N/A,1.00000,63607,10546,5.240,3.543,17,N/A,N/A,,,,,18358,N/A,N/A,1.044,N/A,0.0000,0.094,,17,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,18,12/12/2018 11:51:42 AM,Unknown,2,2.725,N/A,N/A,1.00000,764307,188760,94.640,96.310,18,N/A,N/A,,,,,10910,20.412,N/A,1.093,N/A,0.0000,0.061,,18,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,18,12/12/2018 11:51:42 AM,Unknown,2,5.425,N/A,N/A,1.00000,43290,7232,5.360,3.690,18,N/A,N/A,,,,,18188,N/A,N/A,1.078,N/A,0.0000,0.095,,18,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,19,12/12/2018 11:58:42 AM,Unknown,2,2.725,N/A,N/A,1.00000,633024,156706,94.361,96.099,19,N/A,N/A,,,,,10703,20.492,N/A,1.135,N/A,0.0000,0.062,,19,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,19,12/12/2018 11:58:42 AM,Unknown,2,5.425,N/A,N/A,1.00000,37830,6362,5.639,3.901,19,N/A,N/A,,,,,18660,N/A,N/A,1.046,N/A,0.0000,0.093,,19,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,20,12/12/2018 12:05:42 PM,Unknown,2,2.725,N/A,N/A,1.00000,688502,170329,94.026,95.894,20,N/A,N/A,,,,,10993,20.465,N/A,1.092,N/A,0.0000,0.061,,20,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,20,12/12/2018 12:05:42 PM,Unknown,2,5.417,N/A,N/A,1.00000,43745,7293,5.974,4.106,20,N/A,N/A,,,,,18385,N/A,N/A,1.040,N/A,0.0000,0.094,,20,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,21,12/12/2018 12:12:41 PM,Unknown,2,2.742,N/A,N/A,1.00000,636638,157722,93.601,95.591,21,N/A,N/A,,,,,11404,20.806,N/A,1.212,N/A,0.0000,0.060,,21,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,21,12/12/2018 12:12:41 PM,Unknown,2,5.442,N/A,N/A,1.00000,43526,7274,6.399,4.409,21,N/A,N/A,,,,,19088,N/A,N/A,1.077,N/A,0.0000,0.093,,21,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,22,12/12/2018 12:19:38 PM,Unknown,2,2.742,N/A,N/A,1.00000,538880,133306,93.132,95.254,22,N/A,N/A,,,,,10666,20.445,N/A,1.169,N/A,0.0000,0.062,,22,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,22,12/12/2018 12:19:38 PM,Unknown,2,5.433,N/A,N/A,1.00000,39741,6642,6.868,4.746,22,N/A,N/A,,,,,18964,N/A,N/A,1.074,N/A,0.0000,0.093,,22,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,23,12/12/2018 12:26:38 PM,Unknown,2,2.725,N/A,N/A,1.00000,563443,139070,92.717,94.961,23,N/A,N/A,,,,,10639,20.292,N/A,1.143,N/A,0.0000,0.062,,23,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,23,12/12/2018 12:26:38 PM,Unknown,2,5.425,N/A,N/A,1.00000,44258,7380,7.283,5.039,23,N/A,N/A,,,,,18135,N/A,N/A,1.077,N/A,0.0000,0.095,,23,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,24,12/12/2018 12:33:37 PM,Unknown,2,2.742,N/A,N/A,1.00000,563064,139055,92.064,94.481,24,N/A,N/A,,,,,10606,20.539,N/A,1.176,N/A,0.0000,0.063,,24,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,24,12/12/2018 12:33:37 PM,Unknown,2,5.450,N/A,N/A,1.00000,48537,8123,7.936,5.519,24,N/A,N/A,,,,,19052,N/A,N/A,1.070,N/A,0.0000,0.093,,24,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,25,12/12/2018 12:40:36 PM,Unknown,2,2.725,N/A,N/A,1.00000,550726,135991,91.425,94.068,25,N/A,N/A,,,,,11209,20.833,N/A,1.233,N/A,0.0000,0.061,,25,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,25,12/12/2018 12:40:36 PM,Unknown,2,5.433,N/A,N/A,1.00000,51654,8576,8.575,5.932,25,N/A,N/A,,,,,18983,N/A,N/A,1.019,N/A,0.0000,0.093,,25,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,26,12/12/2018 12:47:37 PM,Unknown,2,2.725,N/A,N/A,1.00000,489036,119861,90.613,93.459,26,N/A,N/A,,,,,10890,20.276,N/A,1.103,N/A,0.0000,0.061,,26,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,26,12/12/2018 12:47:37 PM,Unknown,2,5.417,N/A,N/A,1.00000,50660,8389,9.387,6.541,26,N/A,N/A,,,,,17941,N/A,N/A,1.099,N/A,0.0000,0.095,,26,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,27,12/12/2018 12:54:36 PM,Unknown,2,2.725,N/A,N/A,1.00000,608902,150944,89.701,92.850,27,N/A,N/A,,,,,10650,20.335,N/A,1.150,N/A,0.0000,0.062,,27,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,27,12/12/2018 12:54:36 PM,Unknown,2,5.425,N/A,N/A,1.00000,69912,11623,10.299,7.150,27,N/A,N/A,,,,,18248,N/A,N/A,1.060,N/A,0.0000,0.095,,27,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,28,12/12/2018 1:01:37 PM,Unknown,2,2.708,N/A,N/A,1.00000,751037,186209,88.563,92.055,28,N/A,N/A,,,,,10611,20.474,N/A,1.151,N/A,0.0000,0.062,,28,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,28,12/12/2018 1:01:37 PM,Unknown,2,5.408,N/A,N/A,1.00000,96993,16071,11.437,7.945,28,N/A,N/A,,,,,18446,N/A,N/A,1.063,N/A,0.0000,0.094,,28,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,29,12/12/2018 1:08:38 PM,Unknown,2,2.725,N/A,N/A,1.00000,606385,148531,87.274,91.013,29,N/A,N/A,,,,,10304,20.170,N/A,1.240,N/A,0.0000,0.063,,29,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,29,12/12/2018 1:08:38 PM,Unknown,2,5.425,N/A,N/A,1.00000,88421,14666,12.726,8.987,29,N/A,N/A,,,,,18154,N/A,N/A,1.068,N/A,0.0000,0.095,,29,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,30,12/12/2018 1:15:38 PM,Unknown,2,2.725,N/A,N/A,1.00000,751403,185917,85.897,90.118,30,N/A,N/A,,,,,10706,20.342,N/A,1.154,N/A,0.0000,0.062,,30,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,30,12/12/2018 1:15:38 PM,Unknown,2,5.425,N/A,N/A,1.00000,123371,20386,14.103,9.882,30,N/A,N/A,,,,,18206,N/A,N/A,1.040,N/A,0.0000,0.095,,30,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,31,12/12/2018 1:22:38 PM,Unknown,2,2.725,N/A,N/A,1.00000,674490,167249,84.220,88.877,31,N/A,N/A,,,,,11279,20.779,N/A,1.212,N/A,0.0000,0.060,,31,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,31,12/12/2018 1:22:38 PM,Unknown,2,5.425,N/A,N/A,1.00000,126377,20932,15.780,11.123,31,N/A,N/A,,,,,18876,N/A,N/A,1.089,N/A,0.0000,0.093,,31,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,32,12/12/2018 1:29:38 PM,Unknown,2,2.725,N/A,N/A,1.00000,604582,149582,82.942,87.905,32,N/A,N/A,,,,,10861,20.622,N/A,1.178,N/A,0.0000,0.062,,32,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,32,12/12/2018 1:29:38 PM,Unknown,2,5.425,N/A,N/A,1.00000,124340,20581,17.058,12.095,32,N/A,N/A,,,,,18872,N/A,N/A,1.091,N/A,0.0000,0.093,,32,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
